@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}
@attribute Score numeric

@data
10,11,East,4,3,13,-1,1,3,1971,0,1,1,1,96,1,South,2270
10,10,South,4,2,11,-1,-1,1,2270,1,1,1,0,95,1,South,2369
10,9,South,4,2,10,-1,11,3,2369,1,1,1,0,94,1,South,2368
10,8,South,4,2,9,-1,-1,3,2368,1,1,1,0,94,2,West,2367
9,8,West,4,2,8,-1,-1,3,2366,1,1,0,1,94,1,North,2465
9,9,North,4,2,10,-1,10,3,2465,1,1,0,1,93,1,North,2564
9,10,North,4,2,12,-1,10,1,2564,1,1,0,1,92,3,North,2763
9,11,North,4,1,13,-1,12,-1,2762,0,1,1,1,92,2,West,2761
8,11,West,4,1,11,-1,10,-1,2761,0,0,1,1,92,3,West,2760
7,11,West,4,1,9,-1,10,-1,2760,0,0,1,1,92,3,West,2759
6,11,West,4,1,9,-1,8,-1,2759,0,1,0,1,92,2,South,2758
6,10,South,4,1,8,-1,6,-1,2758,1,1,0,0,92,2,South,2757
6,9,South,4,1,6,-1,6,-1,2757,1,1,1,1,92,1,South,2756
6,8,South,4,1,4,-1,6,-1,2756,1,1,0,0,92,2,South,2755
6,7,South,4,1,2,-1,4,-1,2755,1,1,1,1,92,1,South,2754
6,6,South,4,1,1,-1,4,-1,2754,1,1,1,0,92,1,South,2953
6,5,South,4,1,8,-1,2,-1,2953,1,1,1,0,92,1,South,2952
6,4,South,4,1,6,-1,4,-1,2952,1,1,1,0,92,1,South,2951
6,3,South,4,1,6,-1,6,-1,2951,1,1,1,1,92,1,South,2950
6,2,South,4,1,5,-1,6,-1,2950,1,1,0,0,92,2,South,2949
6,1,South,4,1,-1,-1,6,-1,2949,1,0,0,1,92,2,East,3148
7,1,East,4,1,-1,-1,8,-1,3148,0,0,1,1,92,2,East,3147
8,1,East,4,1,-1,-1,8,3,3147,0,0,1,1,92,2,East,3147
8,1,East,4,1,-1,-1,8,3,3147,0,0,1,1,92,2,East,33451
8,1,West,4,4,7,7,9,9,94,0,0,1,1,113,1,West,193
7,1,West,4,4,9,5,9,10,193,0,0,1,1,112,1,West,292
6,1,West,4,4,11,6,11,11,291,1,0,0,1,111,1,North,390
6,2,North,4,4,9,4,11,9,390,1,1,0,0,110,1,North,489
6,3,North,4,4,9,2,9,7,489,1,1,1,1,109,1,North,588
6,4,North,4,4,8,2,8,5,588,1,1,1,0,108,1,West,887
5,4,West,4,3,9,-1,10,6,887,1,1,1,1,107,1,West,986
4,4,West,4,3,10,-1,10,6,986,1,1,1,1,106,1,West,1085
3,4,West,4,3,10,4,12,5,1084,1,1,0,1,105,1,South,1183
3,3,South,4,3,11,-1,15,5,1182,1,0,0,1,104,1,East,1281
4,3,East,4,3,11,-1,15,3,1281,1,1,1,1,103,1,South,1380
4,2,South,4,3,12,-1,17,4,1380,1,1,0,0,102,1,South,1479
4,1,South,4,3,13,-1,18,5,1479,1,0,1,0,101,1,West,1578
3,1,West,4,3,14,-1,18,6,1578,0,0,1,1,100,1,West,1677
2,1,West,4,3,14,2,19,7,1677,0,0,1,1,99,2,West,1876
1,1,West,4,3,16,-1,19,8,1876,1,0,0,1,99,1,East,1875
2,1,East,4,3,14,-1,19,6,1875,0,0,1,1,99,2,East,2074
3,1,East,4,3,14,-1,19,4,2074,0,0,1,1,99,3,East,2273
4,1,East,4,3,13,-1,17,5,2269,1,0,1,0,99,3,North,2268
4,2,North,4,3,12,-1,16,4,2268,1,1,0,0,99,2,North,2267
4,3,North,4,3,10,-1,15,2,2267,1,1,1,1,99,1,North,2466
4,4,North,4,2,10,2,15,-1,2466,1,1,1,1,99,1,West,2465
3,4,West,4,2,12,1,13,-1,2463,1,1,0,1,99,1,North,2562
3,5,North,4,2,10,1,13,6,2562,1,1,0,1,98,1,North,2661
3,6,North,4,2,8,2,11,7,2661,1,1,0,1,97,1,East,2760
4,6,East,4,2,7,2,9,-1,2760,1,1,1,1,96,1,East,2859
5,6,East,4,2,5,4,7,5,2859,1,1,1,1,95,1,East,2958
6,6,East,4,2,4,5,7,4,2958,1,1,1,0,94,1,North,3057
6,7,North,4,2,2,5,7,4,3057,1,1,1,1,93,1,North,3156
6,8,North,4,2,2,6,5,6,3156,1,1,0,0,92,1,North,3255
6,9,North,4,2,2,6,5,6,3255,1,1,1,1,91,1,East,3354
7,9,East,4,2,7,6,3,4,3350,0,0,1,0,90,2,West,3349
6,9,West,4,2,7,6,3,2,3349,1,1,1,1,90,1,North,3448
6,10,North,4,2,9,8,4,2,3448,1,1,0,0,89,1,North,3547
6,11,North,4,2,11,9,4,4,3547,0,1,0,1,88,1,East,3646
7,11,East,4,2,12,11,4,4,3646,0,0,1,1,87,1,East,3745
8,11,East,4,2,13,11,4,5,3745,0,0,1,1,86,1,East,3844
9,11,East,4,2,14,12,4,5,3844,0,1,1,1,85,1,East,3943
10,11,East,4,2,15,14,4,7,3943,0,1,1,1,84,1,South,4042
10,10,South,4,2,13,14,4,5,4042,1,1,1,0,83,1,South,4141
10,9,South,4,2,13,13,2,5,4141,1,1,1,0,82,1,South,4140
10,8,South,4,2,11,11,2,7,4140,1,1,1,0,82,2,South,4139
10,7,South,4,2,9,10,5,10,4138,1,0,1,1,82,3,West,4137
9,7,West,4,2,7,8,3,10,4137,1,0,1,1,82,2,North,4136
9,8,North,4,2,8,9,3,9,4136,1,1,0,1,82,1,North,4235
9,9,North,4,2,9,10,3,7,4235,1,1,0,1,81,1,North,4334
9,10,North,4,2,11,10,2,6,4334,1,1,0,1,80,3,North,4333
9,11,North,4,2,12,11,2,5,4333,0,1,1,1,80,2,West,4332
8,11,West,4,2,11,9,2,5,4332,0,0,1,1,80,3,West,4331
7,11,West,4,2,11,7,2,5,4331,0,0,1,1,80,3,West,4330
6,11,West,4,2,8,6,3,3,4328,0,1,0,1,80,2,South,4327
6,10,South,4,2,8,4,1,2,4327,1,1,0,0,80,2,South,4526
6,9,South,4,1,8,4,-1,2,4526,1,1,1,1,80,1,East,4525
7,9,East,4,1,10,7,-1,5,4523,0,0,1,0,80,2,West,4522
6,9,West,4,1,9,6,-1,4,4522,1,1,1,1,80,1,South,4521
6,8,South,4,1,8,4,-1,4,4521,1,1,0,0,80,2,South,4520
6,7,South,4,1,7,2,-1,4,4520,1,1,1,1,80,1,South,4519
6,6,South,4,1,5,2,-1,5,4519,1,1,1,0,80,1,South,4818
6,5,South,4,1,4,-1,5,5,4818,1,1,1,0,79,1,South,4817
6,4,South,4,1,4,-1,3,5,4817,1,1,1,0,79,2,West,4816
5,4,West,4,1,2,-1,1,3,4816,1,1,1,1,79,1,West,4815
4,4,West,4,1,2,-1,1,3,4815,1,1,1,1,79,1,West,4815
4,4,West,4,1,2,-1,1,3,4815,1,1,1,1,79,1,West,5013
