@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}
@attribute Score numeric

@data
12,15,West,4,1,-1,-1,1,-1,558,0,0,1,1,0,-1,West,558
12,15,West,4,1,-1,-1,1,-1,558,0,0,1,1,0,-1,West,757
8,1,West,4,4,5,5,6,15,99,1,0,1,1,67,1,North,98
8,2,North,4,4,3,5,4,13,98,1,1,0,0,67,2,North,97
8,3,North,4,4,1,3,4,11,97,0,1,0,1,67,2,East,296
9,3,East,4,3,-1,1,4,10,296,1,0,1,1,67,3,North,495
9,4,North,4,2,-1,8,3,10,495,1,1,0,0,67,2,North,494
9,5,North,4,2,-1,-1,1,10,494,1,1,1,1,67,1,North,793
9,6,North,4,1,-1,10,-1,9,793,1,1,0,1,66,1,North,892
9,7,North,4,1,-1,10,-1,8,892,0,1,1,1,65,1,East,991
10,7,East,4,1,-1,10,9,7,991,0,1,1,1,64,1,East,1090
11,7,East,4,1,-1,10,9,6,1090,0,0,1,1,63,1,East,1189
12,7,East,4,1,-1,11,10,6,1189,0,0,1,1,62,1,East,1288
13,7,East,4,1,17,13,11,6,1288,0,1,1,0,61,1,South,1387
13,6,South,4,1,16,13,10,6,1387,1,1,0,0,60,1,South,1486
13,5,South,4,1,14,12,9,6,1486,1,1,0,1,59,1,East,1585
14,5,East,4,1,14,14,10,4,1585,0,0,1,1,58,1,East,1684
15,5,East,4,1,14,15,11,2,1684,1,0,1,1,57,1,East,1684
15,5,East,4,1,14,15,11,2,1684,1,0,1,1,57,1,East,1982
1,5,South,4,4,6,9,11,15,-1,1,1,0,0,0,-1,South,-2
1,4,South,4,4,6,11,9,16,-2,1,1,0,1,0,-1,East,-3
2,4,East,4,4,6,11,7,15,-3,0,1,1,1,0,-1,East,-4
3,4,East,4,4,5,11,6,14,-4,0,1,1,1,0,-1,East,-5
4,4,East,4,4,3,11,4,14,-5,0,1,1,1,0,-1,East,-6
5,4,East,4,4,3,11,2,12,-6,0,1,1,1,0,-1,East,-7
6,4,East,4,4,3,9,1,12,-7,0,1,1,1,0,-1,East,192
7,4,East,4,3,3,8,-1,10,192,1,1,1,1,0,-1,North,191
7,5,North,4,3,1,8,-1,10,191,1,1,0,0,0,-1,North,390
7,6,North,4,2,-1,10,-1,10,390,0,1,1,1,0,-1,East,389
8,6,East,4,2,-1,8,-1,10,389,0,0,1,1,0,-1,East,388
9,6,East,4,2,-1,6,-1,8,388,0,0,1,1,0,-1,East,387
10,6,East,4,2,-1,5,-1,6,387,0,0,1,1,0,-1,East,386
11,6,East,4,2,-1,5,-1,6,386,0,0,1,1,0,-1,East,385
12,6,East,4,2,-1,5,-1,4,385,0,0,1,1,0,-1,East,384
13,6,East,4,2,-1,4,-1,4,384,0,0,1,1,0,-1,East,383
14,6,East,4,2,-1,4,-1,4,383,0,1,1,1,0,-1,South,382
14,5,South,4,2,-1,2,-1,2,382,1,1,0,0,0,-1,South,381
14,4,South,4,2,-1,1,-1,2,381,1,1,1,1,0,-1,South,580
14,3,South,4,1,-1,-1,-1,3,580,1,0,1,1,0,-1,East,579
15,3,East,4,1,-1,-1,-1,1,579,1,0,1,1,0,-1,North,578
15,4,North,4,1,-1,-1,-1,1,578,0,1,1,1,0,-1,East,578
15,4,North,4,1,-1,-1,-1,1,578,0,1,1,1,0,-1,East,777
1,3,West,4,4,-1,-1,5,6,99,0,1,0,1,1,3,South,98
1,2,South,4,4,-1,-1,5,6,98,1,1,0,0,1,2,South,297
1,1,South,4,3,-1,-1,6,6,297,1,0,0,1,1,3,East,296
2,1,East,4,3,-1,-1,6,5,296,0,0,1,1,1,2,East,295
3,1,East,4,3,-1,-1,4,3,295,1,0,1,1,1,1,East,494
4,1,East,4,2,-1,-1,2,3,494,0,0,1,1,1,2,East,693
5,1,East,4,1,-1,3,-1,2,693,1,0,1,0,1,3,North,692
5,2,North,4,1,-1,2,-1,2,692,1,1,0,0,1,2,North,691
5,3,North,4,1,-1,-1,-1,2,691,0,1,1,1,1,3,West,691
5,3,North,4,1,-1,-1,-1,2,691,0,1,1,1,1,3,West,889
3,3,West,4,4,3,-1,-1,12,-1,0,0,1,1,2,3,West,-2
2,3,West,4,4,2,-1,-1,13,-2,0,0,1,1,2,2,West,197
1,3,West,4,3,-1,-1,-1,14,197,0,1,0,1,2,2,South,196
1,2,South,4,3,-1,-1,-1,14,196,1,1,0,0,2,1,South,495
1,1,South,4,3,-1,-1,-1,14,495,1,0,0,1,1,1,East,794
2,1,East,4,3,-1,-1,-1,14,794,0,0,1,1,0,-1,East,793
3,1,East,4,3,3,-1,-1,12,793,0,0,1,1,0,-1,East,992
4,1,East,4,2,4,-1,-1,-1,992,0,0,1,1,0,-1,East,1191
5,1,East,4,2,6,-1,-1,-1,1191,0,0,1,1,0,-1,East,1590
6,1,East,4,2,6,-1,-1,-1,1590,0,0,1,1,0,-1,East,1589
7,1,East,4,2,8,-1,-1,-1,1589,0,0,1,1,0,-1,East,1588
8,1,East,4,2,9,-1,-1,-1,1588,0,0,1,1,0,-1,East,1787
9,1,East,4,1,10,-1,-1,-1,1787,1,0,1,1,0,-1,East,1786
10,1,East,4,1,10,-1,-1,-1,1786,0,0,1,0,0,-1,West,1785
9,1,West,4,1,9,-1,-1,-1,1785,1,0,1,1,0,-1,North,1784
9,2,North,4,1,9,-1,-1,-1,1784,1,1,0,0,0,-1,North,1783
9,3,North,4,1,8,-1,-1,-1,1783,0,1,1,1,0,-1,East,1782
10,3,East,4,1,8,-1,-1,-1,1782,0,0,1,1,0,-1,East,1781
11,3,East,4,1,10,-1,-1,-1,1781,0,0,1,1,0,-1,East,1780
12,3,East,4,1,12,-1,-1,-1,1780,0,0,1,1,0,-1,East,1779
13,3,East,4,1,13,-1,-1,-1,1779,0,0,1,1,0,-1,East,1778
14,3,East,4,1,13,-1,-1,-1,1778,0,1,1,0,0,-1,South,1777
14,2,South,4,1,13,-1,-1,-1,1777,1,1,0,0,0,-1,South,1777
14,2,South,4,1,13,-1,-1,-1,1777,1,1,0,0,0,-1,South,1976
